Title,Released,Season,Episode,imdbRating,imdbID,Show
An Unearthly Child,1963-11-23,1,1,8.3,tt0562828,Classic Doctor Who
The Cave of Skulls,1963-11-30,1,2,6.6,tt0782279,Classic Doctor Who
The Forest of Fear,1963-12-07,1,3,6.4,tt0805109,Classic Doctor Who
The Firemaker,1963-12-14,1,4,6.7,tt0813250,Classic Doctor Who
The Dead Planet,1963-12-21,1,5,7.9,tt0562905,Classic Doctor Who
The Survivors,1963-12-28,1,6,7.9,tt0819441,Classic Doctor Who
The Escape,1964-01-04,1,7,7.8,tt0777345,Classic Doctor Who
The Ambush,1964-01-11,1,8,7.7,tt0819440,Classic Doctor Who
The Expedition,1964-01-18,1,9,7.5,tt0769064,Classic Doctor Who
The Ordeal,1964-01-25,1,10,7.2,tt0769065,Classic Doctor Who
The Rescue,1964-02-01,1,11,7.8,tt0777344,Classic Doctor Who
The Edge of Destruction,1964-02-08,1,12,7,tt0756850,Classic Doctor Who
The Brink of Disaster,1964-02-15,1,13,7.1,tt0769062,Classic Doctor Who
The Roof of the World,1964-02-22,1,14,7.8,tt0562858,Classic Doctor Who
The Singing Sands,1964-02-29,1,15,7.6,tt0769067,Classic Doctor Who
Five Hundred Eyes,1964-03-07,1,16,7.3,tt0809982,Classic Doctor Who
The Wall of Lies,1964-03-14,1,17,7.2,tt0769068,Classic Doctor Who
Rider from Shang-Tu,1964-03-21,1,18,7.1,tt0805214,Classic Doctor Who
Mighty Kublai Khan,1964-03-28,1,19,7.1,tt0769059,Classic Doctor Who
Assassin at Peking,1964-04-04,1,20,7.3,tt0809981,Classic Doctor Who
The Sea of Death,1964-04-11,1,21,7.3,tt0562926,Classic Doctor Who
The Velvet Web,1964-04-18,1,22,7.3,tt0809986,Classic Doctor Who
The Screaming Jungle,1964-04-25,1,23,7.1,tt0769066,Classic Doctor Who
The Snows of Terror,1964-05-02,1,24,6.9,tt0809984,Classic Doctor Who
Sentence of Death,1964-05-09,1,25,7.2,tt0809983,Classic Doctor Who
The Keys of Marinus,1964-05-16,1,26,7.4,tt0829417,Classic Doctor Who
The Temple of Evil,1964-05-23,1,27,7.4,tt0562894,Classic Doctor Who
The Warriors of Death,1964-05-30,1,28,7.5,tt0805215,Classic Doctor Who
The Bride of Sacrifice,1964-06-06,1,29,7.6,tt0769061,Classic Doctor Who
The Day of Darkness,1964-06-13,1,30,7.7,tt0830292,Classic Doctor Who
Strangers in Space,1964-06-20,1,31,7,tt0562953,Classic Doctor Who
The Unwilling Warriors,1964-06-27,1,32,6.7,tt0809985,Classic Doctor Who
Hidden Danger,1964-07-11,1,33,6.8,tt0769057,Classic Doctor Who
A Race Against Death,1964-07-18,1,34,6.6,tt0809980,Classic Doctor Who
Kidnap,1964-07-25,1,35,6.5,tt0769058,Classic Doctor Who
A Desperate Venture,1964-08-01,1,36,6.4,tt0769055,Classic Doctor Who
A Land of Fear,1964-08-08,1,37,6.9,tt0562944,Classic Doctor Who
Guests of Madame Guillotine,1964-08-15,1,38,6.6,tt0769056,Classic Doctor Who
A Change of Identity,1964-08-22,1,39,6.9,tt0785282,Classic Doctor Who
The Tyrant of France,1964-08-29,1,40,6.5,tt0785310,Classic Doctor Who
A Bargain of Necessity,1964-09-05,1,41,6.5,tt0769054,Classic Doctor Who
Prisoners of Conciergerie,1964-09-12,1,42,6.9,tt0769060,Classic Doctor Who
Planet of Giants,1964-10-31,2,1,7.1,tt0562867,Classic Doctor Who
Dangerous Journey,1964-11-07,2,2,7,tt0776941,Classic Doctor Who
Crisis,1964-11-14,2,3,6.6,tt0776940,Classic Doctor Who
World's End,1964-11-21,2,4,8.1,tt0562904,Classic Doctor Who
The Daleks,1964-11-28,2,5,8.1,tt0776951,Classic Doctor Who
Day of Reckoning,1964-12-05,2,6,8.1,tt0776942,Classic Doctor Who
The End of Tomorrow,1964-12-12,2,7,7.9,tt0776955,Classic Doctor Who
The Waking Ally,1964-12-19,2,8,8,tt0776961,Classic Doctor Who
Flashpoint,1964-12-26,2,9,8.4,tt0776945,Classic Doctor Who
The Powerful Enemy,1965-01-02,2,10,7.2,tt0562945,Classic Doctor Who
Desperate Measures,1965-01-09,2,11,7.4,tt0776943,Classic Doctor Who
The Slave Traders,1965-01-16,2,12,7.6,tt0562948,Classic Doctor Who
All Roads Lead to Rome,1965-01-23,2,13,7.6,tt0776936,Classic Doctor Who
Conspiracy,1965-01-30,2,14,7.7,tt0776938,Classic Doctor Who
Inferno,1965-02-06,2,15,7.8,tt0776947,Classic Doctor Who
The Web Planet,1965-02-13,2,16,6.6,tt0562975,Classic Doctor Who
The Zarbi,1965-02-20,2,17,6,tt0776964,Classic Doctor Who
Escape to Danger,1965-02-27,2,18,5.9,tt0776944,Classic Doctor Who
Crater of Needles,1965-03-06,2,19,5.7,tt0776939,Classic Doctor Who
Invasion,1965-03-13,2,20,5.8,tt0776948,Classic Doctor Who
The Centre,1965-03-20,2,21,5.7,tt0776950,Classic Doctor Who
The Lion,1965-03-27,2,22,7.2,tt0562901,Classic Doctor Who
The Knight of Jaffa,1965-04-03,2,23,7.2,tt0776957,Classic Doctor Who
The Wheel of Fortune,1965-04-10,2,24,7.3,tt0776963,Classic Doctor Who
The Warlords,1965-04-17,2,25,7.1,tt0776962,Classic Doctor Who
The Space Museum,1965-04-24,2,26,8,tt0562957,Classic Doctor Who
The Dimensions of Time,1965-05-01,2,27,7.1,tt0776954,Classic Doctor Who
The Search,1965-05-08,2,28,6.8,tt0776960,Classic Doctor Who
The Final Phase,1965-05-15,2,29,6.7,tt0776956,Classic Doctor Who
The Executioners,1965-05-22,2,30,7.3,tt0562898,Classic Doctor Who
The Death of Time,1965-05-29,2,31,7,tt0776953,Classic Doctor Who
Flight Through Eternity,1965-06-05,2,32,7.2,tt0776946,Classic Doctor Who
Journey Into Terror,1965-06-12,2,33,6.8,tt0776949,Classic Doctor Who
The Death of Doctor Who,1965-06-19,2,34,7.3,tt0776952,Classic Doctor Who
The Planet of Decision,1965-06-26,2,35,7.9,tt0776959,Classic Doctor Who
The Watcher,1965-07-03,2,36,7.8,tt0562964/,Classic Doctor Who
The Meddling Monk,1965-07-10,2,37,7.6,tt0776958,Classic Doctor Who
A Battle of Wits,1965-07-17,2,38,8,tt0776935,Classic Doctor Who
Checkmate,1965-07-24,2,39,8.2,tt0776937,Classic Doctor Who
Four Hundred Dawns,1965-09-11,3,1,6.4,tt0562849,Classic Doctor Who
Trap of Steel,1965-09-18,3,2,6.3,tt0785311,Classic Doctor Who
Air Lock,1965-09-25,3,3,6.6,tt0785283,Classic Doctor Who
The Exploding Planet,1965-10-02,3,4,6.4,tt0785301,Classic Doctor Who
Mission to the Unknown,1965-10-09,3,5,7.2,tt0562862,Classic Doctor Who
Temple of Secrets,1965-10-16,3,6,7.3,tt0562940,Classic Doctor Who
"Small Prophet, Quick Return",1965-10-23,3,7,7.3,tt0785297,Classic Doctor Who
Death of a Spy,1965-10-30,3,8,7.4,tt0785288,Classic Doctor Who
Horse of Destruction,1965-11-06,3,9,7.9,tt0785294,Classic Doctor Who
The Nightmare Begins,1965-11-13,3,10,8.1,tt0562906,Classic Doctor Who
Day of Armageddon,1965-11-20,3,11,8.1,tt0785287,Classic Doctor Who
Devil's Planet,1965-11-27,3,12,7.8,tt0785290,Classic Doctor Who
The Traitors,1965-12-04,3,13,8.3,tt0785309,Classic Doctor Who
Counter Plot,1965-12-11,3,14,7.8,tt0785286,Classic Doctor Who
Coronas of the Sun,1965-12-18,3,15,8,tt0785285,Classic Doctor Who
The Feast of Steven,1965-12-25,3,16,6.7,tt0785302,Classic Doctor Who
Volcano,1966-01-01,3,17,7.7,tt0785312,Classic Doctor Who
Golden Death,1966-01-08,3,18,7.8,tt0785293,Classic Doctor Who
Escape Switch,1966-01-15,3,19,7.7,tt0785292,Classic Doctor Who
The Abandoned Planet,1966-01-22,3,20,8.1,tt0785298,Classic Doctor Who
Destruction of Time,1966-01-29,3,21,8.8,tt0785289,Classic Doctor Who
War of God,1966-02-05,3,22,7.4,tt0562933,Classic Doctor Who
The Sea Beggar,1966-02-12,3,23,7.4,tt0785308,Classic Doctor Who
Priest of Death,1966-02-19,3,24,7.4,tt0785296,Classic Doctor Who
Bell of Doom,1966-02-26,3,25,7.8,tt0785284,Classic Doctor Who
The Steel Sky,1966-03-05,3,26,7.2,tt0562890,Classic Doctor Who
The Plague,1966-03-12,3,27,7.2,tt0785306,Classic Doctor Who
The Return,1966-03-19,3,28,7.1,tt0785307,Classic Doctor Who
The Bomb,1966-03-26,3,29,7,tt0785299,Classic Doctor Who
The Celestial Toyroom,1966-04-02,3,30,6.6,tt0562897,Classic Doctor Who
The Hall of Dolls,1966-04-09,3,31,6.2,tt0785304,Classic Doctor Who
The Dancing Floor,1966-04-16,3,32,6.1,tt0785300,Classic Doctor Who
The Final Test,1966-04-23,3,33,7.2,tt0785303,Classic Doctor Who
A Holiday for the Doctor,1966-04-30,3,34,6.4,tt0562916,Classic Doctor Who
Don't Shoot the Pianist,1966-05-07,3,35,6.3,tt0785291,Classic Doctor Who
Johnny Ringo,1966-05-14,3,36,6.1,tt0785295,Classic Doctor Who
The O.K. Corral,1966-05-21,3,37,6.3,tt0785305,Classic Doctor Who
The Savages: Episode 1,1966-05-28,3,38,7,tt0562949,Classic Doctor Who
The Savages: Episode 2,1966-06-04,3,39,6.9,tt0807265,Classic Doctor Who
The Savages: Episode 3,1966-06-11,3,40,6.9,tt0807266,Classic Doctor Who
The Savages: Episode 4,1966-06-18,3,41,7.1,tt0807267,Classic Doctor Who
The War Machines: Episode 1,1966-06-25,3,42,7.6,tt0562974,Classic Doctor Who
The War Machines: Episode 2,1966-07-02,3,43,7.4,tt0807268,Classic Doctor Who
The War Machines: Episode 3,1966-07-09,3,44,7.4,tt0807269,Classic Doctor Who
The War Machines: Episode 4,1966-07-16,3,45,7.4,tt0807270,Classic Doctor Who
The Smugglers: Episode 1,1966-09-10,4,1,6.5,tt0562955,Classic Doctor Who
The Smugglers: Episode 2,1966-09-17,4,2,6.3,tt0810587,Classic Doctor Who
The Smugglers: Episode 3,1966-09-24,4,3,6.4,tt0810588,Classic Doctor Who
The Smugglers: Episode 4,1966-10-01,4,4,6.3,tt0810589,Classic Doctor Who
The Tenth Planet: Episode 1,1966-10-08,4,5,8,tt0562962,Classic Doctor Who
The Tenth Planet: Episode 2,1966-10-15,4,6,8,tt0810590,Classic Doctor Who
The Tenth Planet: Episode 3,1966-10-22,4,7,7.6,tt0810591,Classic Doctor Who
The Tenth Planet: Episode 4,1966-10-29,4,8,8.3,tt0810592,Classic Doctor Who
The Power of the Daleks: Episode One,1966-11-05,4,9,8.5,tt0562943,Classic Doctor Who
The Power of the Daleks: Episode Two,1966-11-12,4,10,8.4,tt0810582,Classic Doctor Who
The Power of the Daleks: Episode Three,1966-11-19,4,11,8.3,tt0810583,Classic Doctor Who
The Power of the Daleks: Episode Four,1966-11-26,4,12,8.4,tt0810584,Classic Doctor Who
The Power of the Daleks: Episode Five,1966-12-03,4,13,8.3,tt0810585,Classic Doctor Who
The Power of the Daleks: Episode Six,1966-12-10,4,14,8.5,tt0810586,Classic Doctor Who
The Highlanders: Episode 1,1966-12-17,4,15,6.7,tt0562919,Classic Doctor Who
The Highlanders: Episode 2,1966-12-24,4,16,6.6,tt0810573,Classic Doctor Who
The Highlanders: Episode 3,1966-12-31,4,17,6.6,tt0810574,Classic Doctor Who
The Highlanders: Episode 4,1967-01-07,4,18,6.6,tt0810575,Classic Doctor Who
The Underwater Menace: Episode 1,1967-01-14,4,19,6,tt0562971,Classic Doctor Who
The Underwater Menace: Episode 2,1967-01-21,4,20,6.2,tt0810593,Classic Doctor Who
The Underwater Menace: Episode 3,1967-01-28,4,21,6.1,tt0810594,Classic Doctor Who
The Underwater Menace: Episode 4,1967-02-04,4,22,5.9,tt0810595,Classic Doctor Who
The Moonbase: Episode 1,1967-02-11,4,23,7.3,tt0562937,Classic Doctor Who
