Title,Released,imdbRating,imdbID,Downloaded?
L'avventura,1960-05-15,7.8,tt0053619,
Spartacus,1960-10-06,7.9,tt0054331,
Hanyo,1960-11-03,7.3,tt0150980,
Meghe Dhaka Tara,1960-04-14,7.9,tt0054073,
Tirez sur le pianiste,1960-11-25,7.4,tt0054389,
Peeping Tom,1960-04-07,7.6,tt0054167,
La maschera del demonio,1960-08-11,7.1,tt0054067,L
The Young One,1960-05-05,7.4,tt0053967,
Splendor in the Grass,1961-10-10,7.7,tt0055471,
Viridiana,1961-05-01,8.1,tt0055601,
La jetée,1962-02-16,8.2,tt0056119,
Lola,1961-03-03,7.5,tt0055093,
The Exiles,1961-01-01,6.7,tt0054861,
La notte,1961-01-24,8,tt0054130,
West Side Story,1961-10-18,7.6,tt0055614,
The Hustler,1961-09-25,8,tt0054997,
The Ladies Man,1961-06-28,6.3,tt0055069,
Såsom i en spegel,1961-10-16,8,tt0055499,
Chronique d'un été,1961-10-01,7.5,tt0054745,
L'année dernière à Marienbad,1961-06-25,7.7,tt0054632,
One-Eyed Jacks,1961-03-30,7.1,tt0055257,YT
Cléo de 5 à 7,1962-04-11,7.9,tt0055852,
Prelude: Dog Star Man,1961-01-01,6.4,tt0234512,YT
Dog Star Man: Part I,1962-01-01,6.1,tt0058025,
Vivre sa vie: Film en douze tableaux,1962-09-20,7.9,tt0056663,
Sanma no aji,1962-11-18,8.1,tt0056444,
O Pagador de Promessas,1962-08-06,8.3,tt0056322,
L'eclisse,1962-04-12,7.8,tt0056736,
Mondo cane,1962-03-30,6.3,tt0057318,
El ángel exterminador,1962-05-16,8,tt0056732,L
Jules et Jim,1962-01-23,7.7,tt0055032,
Heaven and Earth Magic,1962-01-01,5.2,tt0056060,YT
To Kill a Mockingbird,1962-12-25,8.3,tt0056592,L
The Manchurian Candidate,1962-10-24,7.9,tt0056218,
What Ever Happened to Baby Jane?,1962-10-31,8,tt0056687,
Pasazerka,1963-09-20,7.4,tt0054159,
The Servant,1963-11-14,7.8,tt0057490,
Flaming Creatures,1963-04-29,4.6,tt0054880,YT
Khaneh siah ast,1963-01-01,7.8,tt0336693,
Hud,1963-05-29,7.8,tt0057163,
Il gattopardo,1963-03-27,8,tt0057091,
Vidas Secas,1963-08-22,7.4,tt0057654,YT
Shock Corridor,1963-09-11,7.3,tt0057495,YT
Le mépris,1963-10-29,7.5,tt0057345,
Blonde Cobra,1963-01-01,3,tt0138329,YT
The Cool World,1963-09-02,6.5,tt0056952,L
The Nutty Professor,1963-06-04,6.6,tt0057372,
Méditerranée,1963-01-01,5.9,tt0197719,
Yukinojô henge,1963-01-13,7.4,tt0057710,
The Haunting,1963-09-18,7.4,tt0057129,
Nattvardsgästerna,1963-02-11,8.1,tt0057358,
My Fair Lady,1964-10-21,7.8,tt0058385,L
Il deserto rosso,1964-09-07,7.5,tt0058003,
Suna no onna,1964-02-15,8.5,tt0058625,
Tini zabutykh predkiv,1965-03-22,7.8,tt0058642,
Scorpio Rising,1963-10-01,6.8,tt0058555,YT
The Masque of the Red Death,1964-06-24,6.9,tt0058333,YT
Prima della rivoluzione,1964-05-09,6.8,tt0056371,
Deus e o Diabo na Terra do Sol,1964-06-01,7.2,tt0058006,
Gertrud,1964-12-19,7.3,tt0058138,
Onibaba,1964-11-21,7.9,tt0058430,
Il vangelo secondo Matteo,1964-09-04,7.7,tt0058715,L
Obchod na korze,1965-10-08,8.2,tt0059527,YT
The War Game,1966-04-13,8,tt0059894,L
Tôkyô orinpikku,1965-03-20,7.8,tt0059817,
Giulietta degli spiriti,1965-10-22,7.5,tt0059229,
De man die zijn haar kort liet knippen,1966-09-05,6.8,tt0129222,YT
Campanadas a medianoche,1966-05-08,7.7,tt0059012,
"Faster, Pussycat! Kill! Kill!",1965-08-06,6.6,tt0059170,
Vinyl,1965-06-04,4.3,tt0059880,L
Rekopis znaleziony w Saragossie,1965-02-09,7.8,tt0059643,YT
Pierrot le fou,1965-11-05,7.5,tt0059592,
Subarnarekha,1965-10-01,7.4,tt0056537,YT
