Title,Released,imdbRating,imdbID,Downloaded?
The Man Who Shot Liberty Valance,1962-04-22,8.1,tt0056217,Y
The Brain That Wouldn't Die,1962-05-03,4.5,tt0052646,Y
Eegah,1962-06-08,2.2,tt0055946,Y
Lolita,1962-06-13,7.5,tt0056193,Y
King Kong vs. Godzilla,1962-08-11,5.9,tt0056142,Y
Hara-Kiri,1962-09-16,8.6,tt0056058,Y
Dr. No,1962-10-05,7.2,tt0055928,Y
Lawrence of Arabia,1962-12-10,8.3,tt0056172,Y
Le procès,1962-12-22,7.8,tt0057427,Y
8½,1963-02-14,8,tt0056801,C
Tengoku to jigoku,1963-03-01,8.4,tt0057565,Y
The Birds,1963-03-28,7.7,tt0056869,Y
Lord of the Flies,1963-05-12,6.9,tt0057261,Y
The Great Escape,1963-06-20,8.2,tt0057115,Y
From Russia with Love,1963-10-10,7.4,tt0057076,Y
The Three Lives of Thomasina,1963-12-11,7.2,tt0057579,Y
The Sword in the Stone,1963-12-25,7.2,tt0057546,Y
Midareru,1964-01-15,8,tt0058349,Y
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,8.4,tt0057012,Y
The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,1964-02-10,2.3,tt0057181,Y
Les parapluies de Cherbourg,1964-02-19,7.8,tt0058450,Y
Mosura tai Gojira,1964-04-29,6.5,tt0058379,L
A Hard Day's Night,1964-07-06,7.6,tt0058182,Y
Marnie,1964-07-22,7.1,tt0058329,
Mary Poppins,1964-08-27,7.8,tt0058331,Y
Goldfinger,1964-09-17,7.7,tt0058150,Y
Santa Claus Conquers the Martians,1964-11-14,2.7,tt0058548,Y
The Sound of Music,1965-03-02,8,tt0059742,Y
Alphaville,1965-05-05,7.1,tt0058898,Y
Repulsion,1965-06-10,7.7,tt0059646,Y
Monster a Go-Go,1965-07-01,2.2,tt0059464,YT
Dr. Who and the Daleks,1965-08-23,5.8,tt0059126,Y
That Darn Cat!,1965-12-02,6.8,tt0059793,Y
Thunderball,1965-12-09,7,tt0059800,Y
Doctor Zhivago,1965-12-22,8,tt0059113,Y
Who's Afraid of Virginia Woolf?,1966-06-21,8,tt0061184,Y
Torn Curtain,1966-07-14,6.6,tt0061107,
